Radio 1: TH=819.200012, ETX=1.700000, Esw=0.403225, Tsw=0.025000, Prb=0.260100, Eta=0.000051
Radio 2: TH=1513.800049, ETX=1.000000, Esw=0.179776, Tsw=0.144000, Prb=0.902500, Eta=0.000007
Radio 3: TH=1216.800049, ETX=1.700000, Esw=0.817216, Tsw=0.144000, Prb=0.152100, Eta=0.000055
Radio 4: TH=5.000000, ETX=1.900000, Esw=0.085849, Tsw=0.081000, Prb=0.115600, Eta=0.000060
Radio 5: TH=520.200012, ETX=1.200000, Esw=0.128881, Tsw=0.324000, Prb=0.002500, Eta=0.000065
Radio 6: TH=88.199997, ETX=1.700000, Esw=0.632025, Tsw=0.729000, Prb=0.705600, Eta=0.000045
Radio 7: TH=672.799988, ETX=1.100000, Esw=0.356409, Tsw=0.009000, Prb=0.052900, Eta=0.000044
Radio 8: TH=320.000000, ETX=1.000000, Esw=0.000121, Tsw=0.225000, Prb=0.176400, Eta=0.000049
N = 1360	D = 0.80	RTS	20	0	0	660	0	222	0	478	0	1.526	1
N = 1360	D = 0.80	GLP	13291	0	495	0	0	222	0	478	165	1.142	1
N = 1360	D = 0.80	GnB	8	253	397	319	1	99	2	212	73	3.133	1
N = 1360	D = 0.84	RTS	17	0	0	616	0	241	0	503	0	1.521	1
N = 1360	D = 0.84	GLP	12977	0	942	0	0	241	0	0	177	1.003	1
N = 1360	D = 0.84	GnB	7	251	397	319	1	101	3	210	74	3.141	1
N = 1360	D = 0.88	RTS	17	0	0	573	0	260	0	527	0	1.516	1
N = 1360	D = 0.88	GLP	13241	0	912	0	0	260	0	0	188	0.993	1
N = 1360	D = 0.88	GnB	8	249	397	319	1	103	4	209	74	3.148	1
N = 1360	D = 0.92	RTS	17	0	0	530	0	279	0	551	0	1.511	1
N = 1360	D = 0.92	GLP	12994	0	881	0	0	279	0	0	200	0.983	1
N = 1360	D = 0.92	GnB	8	248	397	319	1	104	5	207	75	3.156	1
N = 1360	D = 0.96	RTS	17	0	0	488	0	297	0	575	0	1.507	1
N = 1360	D = 0.96	GLP	8708	0	852	0	0	297	0	0	211	0.974	1
N = 1360	D = 0.96	GnB	4	246	397	319	1	106	6	205	75	3.164	1
N = 1360	D = 1.00	RTS	10	0	0	444	0	316	0	600	0	1.502	1
N = 1360	D = 1.00	GLP	7315	0	821	0	0	316	0	0	223	0.964	1
N = 1360	D = 1.00	GnB	4	245	397	319	1	107	7	204	76	3.172	1
N = 1360	D = 1.04	RTS	10	0	0	401	0	335	0	624	0	1.497	1
N = 1360	D = 1.04	GLP	7479	0	791	0	0	335	0	0	234	0.954	1
N = 1360	D = 1.04	GnB	5	243	397	319	1	109	8	203	76	3.179	1
N = 1360	D = 1.08	RTS	10	0	0	359	0	353	0	648	0	1.492	1
N = 1360	D = 1.08	GLP	7398	0	761	0	0	353	0	0	246	0.945	1
N = 1360	D = 1.08	GnB	4	242	397	319	1	110	8	202	76	3.179	1
N = 1360	D = 1.12	RTS	10	0	0	316	0	372	0	672	0	1.488	1
N = 1360	D = 1.12	GLP	7580	0	59	0	0	372	0	672	257	0.971	1
N = 1360	D = 1.12	GnB	4	241	397	319	1	111	9	201	77	3.187	1
N = 1360	D = 1.16	RTS	10	0	969	0	0	391	0	0	0	0.926	1
N = 1360	D = 1.16	GLP	7619	0	4	0	0	391	0	696	269	0.950	1
N = 1360	D = 1.16	GnB	5	240	397	319	1	112	9	200	77	3.186	1
N = 1360	D = 1.20	RTS	11	0	950	0	0	410	0	0	0	0.916	1
N = 1360	D = 1.20	GLP	7041	0	0	0	0	410	0	721	229	0.748	1
N = 1360	D = 1.20	GnB	5	239	398	319	1	113	10	199	77	3.195	1
N = 1360	D = 1.24	RTS	10	0	932	0	0	428	0	0	0	0.906	1
N = 1360	D = 1.24	GLP	6956	0	0	0	0	428	0	745	187	0.728	1
N = 1360	D = 1.24	GnB	5	238	398	319	1	114	10	198	77	3.194	1
N = 1360	D = 1.44	RTS	10	0	838	0	0	522	0	0	0	0.857	1
N = 1360	D = 1.44	GLP	7247	0	0	0	0	522	0	838	0	0.635	1
N = 1360	D = 1.44	GnB	4	235	398	320	1	117	12	195	78	3.210	1
N = 1728	D = 1.44	RTS	10	0	1206	0	0	522	0	0	0	1.079	1
N = 1728	D = 1.44	GLP	6964	0	0	0	0	522	0	866	340	0.843	1
N = 1728	D = 1.44	GnB	4	298	506	406	1	149	16	248	100	3.374	1
N = 2096	D = 1.44	RTS	9	0	0	708	0	522	0	866	0	1.610	1
N = 2096	D = 1.44	GLP	7614	0	359	0	0	522	0	866	349	1.244	1
N = 2096	D = 1.44	GnB	4	362	613	493	2	181	19	301	121	3.553	1
N = 2464	D = 1.44	RTS	10	0	0	1076	0	522	0	866	0	1.691	1
N = 2464	D = 1.44	GLP	7318	1043	0	0	0	522	0	866	33	1.483	1
N = 2464	D = 1.44	GnB	5	426	721	579	2	213	23	354	142	3.717	1
