Radio 1: TH=980.000000, ETX=1.300000, Esw=0.848241, Tsw=0.036000, Prb=0.072900, Eta=0.000008
Radio 2: TH=45.000000, ETX=1.500000, Esw=0.052900, Tsw=0.064000, Prb=0.902500, Eta=0.000094
N = 184	D = 0.60	RTS	6	184	0	0.864	1
N = 184	D = 0.60	GLP	6411	184	0	0.864	1
N = 184	D = 0.60	GnB	3	184	0	0.864	1
N = 184	D = 0.64	RTS	4	184	0	0.864	1
N = 184	D = 0.64	GLP	6157	184	0	0.864	1
N = 184	D = 0.64	GnB	2	184	0	0.864	1
N = 184	D = 0.68	RTS	5	184	0	0.864	1
N = 184	D = 0.68	GLP	6255	184	0	0.864	1
N = 184	D = 0.68	GnB	2	184	0	0.864	1
N = 184	D = 0.72	RTS	5	184	0	0.864	1
N = 184	D = 0.72	GLP	6197	184	0	0.864	1
N = 184	D = 0.72	GnB	2	184	0	0.864	1
N = 184	D = 0.76	RTS	5	184	0	0.864	1
N = 184	D = 0.76	GLP	6317	184	0	0.864	1
N = 184	D = 0.76	GnB	2	184	0	0.864	1
N = 184	D = 0.80	RTS	5	184	0	0.864	1
N = 184	D = 0.80	GLP	6229	184	0	0.864	1
N = 184	D = 0.80	GnB	2	184	0	0.864	1
N = 184	D = 0.84	RTS	4	184	0	0.864	1
N = 184	D = 0.84	GLP	6146	184	0	0.864	1
N = 184	D = 0.84	GnB	2	184	0	0.864	1
N = 184	D = 0.88	RTS	4	184	0	0.864	1
N = 184	D = 0.88	GLP	6288	184	0	0.864	1
N = 184	D = 0.88	GnB	2	184	0	0.864	1
N = 184	D = 0.92	RTS	4	184	0	0.864	1
N = 184	D = 0.92	GLP	6214	184	0	0.864	1
N = 184	D = 0.92	GnB	2	184	0	0.864	1
N = 184	D = 0.96	RTS	5	184	0	0.864	1
N = 184	D = 0.96	GLP	6089	184	0	0.864	1
N = 184	D = 0.96	GnB	3	184	0	0.864	1
N = 184	D = 1.00	RTS	5	184	0	0.864	1
N = 184	D = 1.00	GLP	6282	184	0	0.864	1
N = 184	D = 1.00	GnB	2	184	0	0.864	1
N = 184	D = 1.04	RTS	4	184	0	0.864	1
N = 184	D = 1.04	GLP	6307	184	0	0.864	1
N = 184	D = 1.04	GnB	3	184	0	0.864	1
N = 340	D = 1.44	RTS	4	340	0	0.877	1
N = 340	D = 1.44	GLP	6215	340	0	0.877	1
N = 340	D = 1.44	GnB	2	340	0	0.877	1
N = 432	D = 1.44	RTS	4	432	0	0.885	1
N = 432	D = 1.44	GLP	6350	432	0	0.885	1
N = 432	D = 1.44	GnB	2	432	0	0.885	1
N = 524	D = 1.44	RTS	5	524	0	0.893	1
N = 524	D = 1.44	GLP	6153	524	0	0.893	1
N = 524	D = 1.44	GnB	2	524	0	0.893	1
N = 616	D = 1.44	RTS	4	616	0	0.900	1
N = 616	D = 1.44	GLP	6527	616	0	0.900	1
N = 616	D = 1.44	GnB	2	616	0	0.900	1
N = 708	D = 1.44	RTS	4	708	0	0.908	1
N = 708	D = 1.44	GLP	6475	708	0	0.908	1
N = 708	D = 1.44	GnB	2	708	0	0.908	1
N = 800	D = 1.44	RTS	4	800	0	0.916	1
N = 800	D = 1.44	GLP	6390	800	0	0.916	1
N = 800	D = 1.44	GnB	2	800	0	0.916	1
N = 892	D = 1.44	RTS	4	892	0	0.924	1
N = 892	D = 1.44	GLP	6161	892	0	0.924	1
N = 892	D = 1.44	GnB	2	892	0	0.924	1
N = 984	D = 1.44	RTS	4	984	0	0.932	1
N = 984	D = 1.44	GLP	6491	984	0	0.932	1
N = 984	D = 1.44	GnB	2	984	0	0.932	1
N = 1076	D = 1.44	RTS	4	1076	0	0.939	1
N = 1076	D = 1.44	GLP	6190	1076	0	0.939	1
N = 1076	D = 1.44	GnB	2	1076	0	0.939	1
N = 1168	D = 1.44	RTS	4	1168	0	0.947	1
N = 1168	D = 1.44	GLP	6155	1168	0	0.947	1
N = 1168	D = 1.44	GnB	2	1168	0	0.947	1
N = 1260	D = 1.44	RTS	5	1238	22	1.450	1
N = 1260	D = 1.44	GLP	6046	1238	22	1.450	1
N = 1260	D = 1.44	GnB	3	1205	54	2.094	1
N = 1352	D = 1.44	RTS(G)	1	1293	58	2.182	0
N = 1352	D = 1.44	GLP(G)	1	1293	58	2.182	0
N = 1352	D = 1.44	GnB(G)	1	1293	58	2.182	0
