Radio 1: TH=605.000000, ETX=1.200000, Esw=0.765625, Tsw=0.625000, Prb=0.324900, Eta=0.000059
Radio 2: TH=1920.800049, ETX=1.500000, Esw=0.898704, Tsw=0.289000, Prb=0.250000, Eta=0.000094
Radio 3: TH=500.000000, ETX=1.900000, Esw=0.717409, Tsw=0.361000, Prb=0.846400, Eta=0.000042
Radio 4: TH=168.199997, ETX=1.200000, Esw=0.044100, Tsw=0.484000, Prb=0.384400, Eta=0.000013
Radio 5: TH=1805.000000, ETX=1.900000, Esw=0.948676, Tsw=0.256000, Prb=0.462400, Eta=0.000006
Radio 6: TH=145.800003, ETX=1.100000, Esw=0.502681, Tsw=0.441000, Prb=0.774400, Eta=0.000017
Radio 7: TH=696.200012, ETX=1.700000, Esw=0.535824, Tsw=0.256000, Prb=0.019600, Eta=0.000034
Radio 8: TH=520.200012, ETX=1.400000, Esw=0.815409, Tsw=0.049000, Prb=0.122500, Eta=0.000095
Radio 9: TH=1620.000000, ETX=1.200000, Esw=0.067081, Tsw=0.004000, Prb=0.883600, Eta=0.000020
N = 3600	D = 1.44	RTS	11	0	1989	0	0	870	0	741	0	0	3.219	1
N = 3600	D = 1.44	GLP	7339	0	1989	0	0	0	0	0	0	1611	2.422	1
N = 3600	D = 1.44	GnB	323	185	832	203	60	804	54	310	272	875	7.260	1
N = 4014	D = 1.44	RTS	23	0	1989	0	0	1284	0	741	0	0	3.330	1
N = 4014	D = 1.44	GLP	7317	0	1989	0	0	0	0	0	0	2025	2.658	1
N = 4014	D = 1.44	GnB	319	207	928	226	67	897	61	346	303	976	7.490	1
N = 4428	D = 1.44	RTS	10	0	1989	0	0	1698	0	741	0	0	3.441	1
N = 4428	D = 1.44	GLP	7663	0	1989	0	0	0	0	741	0	1698	3.072	1
N = 4428	D = 1.44	GnB	4	228	1023	249	74	989	67	381	335	1077	7.714	1
N = 4842	D = 1.44	RTS	23	0	1989	0	0	1923	0	741	189	0	4.386	1
N = 4842	D = 1.44	GLP	7895	0	1989	0	19	0	0	741	0	2093	3.384	1
N = 4842	D = 1.44	GnB	4	249	1119	273	81	1082	73	417	366	1178	7.941	1
N = 5256	D = 1.44	RTS	10	0	1989	0	0	1923	0	741	603	0	4.538	1
N = 5256	D = 1.44	GLP	7588	0	1989	0	0	1923	0	0	0	1344	3.734	1
N = 5256	D = 1.44	GnB	4	271	1215	296	88	1174	80	453	397	1278	8.170	1
N = 5670	D = 1.44	RTS	10	0	1989	0	0	1923	0	741	651	366	4.832	1
N = 5670	D = 1.44	GLP	7590	0	1989	0	0	1923	0	0	0	1758	3.969	1
N = 5670	D = 1.44	GnB	4	292	1311	319	95	1267	86	488	429	1379	8.395	1
N = 6084	D = 1.44	RTS	24	0	1989	0	0	1923	0	741	651	780	5.067	1
N = 6084	D = 1.44	GLP	7850	0	1989	0	0	1923	0	741	0	1431	4.383	1
N = 6084	D = 1.44	GnB	329	313	1406	343	102	1359	92	524	460	1480	8.621	1
