Radio 1: TH=1125.000000, ETX=1.800000, Esw=0.427716, Tsw=0.625000, Prb=0.220900, Eta=0.000047
Radio 2: TH=168.199997, ETX=1.600000, Esw=0.094249, Tsw=0.576000, Prb=0.003600, Eta=0.000036
Radio 3: TH=45.000000, ETX=1.300000, Esw=0.047089, Tsw=0.576000, Prb=0.260100, Eta=0.000090
Radio 4: TH=1445.000000, ETX=1.500000, Esw=0.492804, Tsw=0.529000, Prb=0.640000, Eta=0.000002
Radio 5: TH=1548.800049, ETX=1.900000, Esw=0.199809, Tsw=0.009000, Prb=0.003600, Eta=0.000047
Radio 6: TH=3.200000, ETX=1.900000, Esw=0.632025, Tsw=0.324000, Prb=0.129600, Eta=0.000094
Radio 7: TH=627.200012, ETX=1.400000, Esw=0.412164, Tsw=0.144000, Prb=0.250000, Eta=0.000047
Radio 8: TH=480.200012, ETX=1.300000, Esw=0.692224, Tsw=0.256000, Prb=0.336400, Eta=0.000035
Radio 9: TH=605.000000, ETX=1.100000, Esw=0.250000, Tsw=0.841000, Prb=0.129600, Eta=0.000032
Radio 10: TH=768.799988, ETX=1.200000, Esw=0.064009, Tsw=0.121000, Prb=0.324900, Eta=0.000058
Radio 11: TH=9.800000, ETX=1.000000, Esw=0.877969, Tsw=0.529000, Prb=0.490000, Eta=0.000025
Radio 12: TH=423.200012, ETX=1.600000, Esw=0.707281, Tsw=0.400000, Prb=0.152100, Eta=0.000090
Radio 13: TH=1479.199951, ETX=1.800000, Esw=0.727609, Tsw=0.324000, Prb=0.001600, Eta=0.000062
N = 2210	D = 1.44	GnB	6	213	33	9	306	515	0	189	132	84	236	2	102	384	5.810	1
N = 2808	D = 1.44	RTS	14	0	130	0	0	1994	0	0	0	0	0	0	0	684	1.292	1
N = 2808	D = 1.44	GLP	8130	0	0	0	0	1994	0	0	0	0	814	0	0	0	0.847	1
N = 2808	D = 1.44	GnB	5	271	42	11	389	655	1	240	168	107	299	2	130	488	6.675	1
N = 3406	D = 1.44	RTS	14	0	130	0	0	1994	0	0	0	0	0	0	0	1282	1.359	1
N = 3406	D = 1.44	GLP	8074	0	0	0	0	1994	0	0	0	0	0	0	0	1412	1.269	1
N = 3406	D = 1.44	GnB	5	328	52	13	472	795	1	291	203	129	363	3	157	592	6.915	1
N = 4004	D = 1.44	RTS	14	69	130	0	0	1994	0	0	0	326	0	0	0	1485	2.160	1
N = 4004	D = 1.44	GLP	7954	0	0	0	0	1994	0	0	0	0	525	0	0	1485	1.600	1
N = 4004	D = 1.44	GnB	5	386	61	16	555	934	1	342	239	152	427	3	185	696	7.113	1
N = 4602	D = 1.44	RTS	14	667	130	0	0	1994	0	0	0	326	0	0	0	1485	2.328	1
N = 4602	D = 1.44	GLP	9743	0	0	0	0	1994	0	0	0	326	797	0	0	1485	2.065	1
N = 4602	D = 1.44	GnB	5	444	70	18	638	1074	1	393	275	175	491	4	213	800	7.355	1
N = 5200	D = 1.44	RTS	14	825	130	0	440	1994	0	0	0	326	0	0	0	1485	3.062	1
