Radio 1: TH=387.200012, ETX=1.800000, Esw=0.538756, Tsw=0.529000, Prb=0.846400, Eta=0.000091
Radio 2: TH=33.799999, ETX=1.400000, Esw=0.410881, Tsw=0.049000, Prb=0.006400, Eta=0.000008
Radio 3: TH=1155.199951, ETX=1.700000, Esw=0.080656, Tsw=0.729000, Prb=0.016900, Eta=0.000095
Radio 4: TH=88.199997, ETX=1.700000, Esw=0.069696, Tsw=0.001000, Prb=0.250000, Eta=0.000053
Radio 5: TH=561.799988, ETX=1.100000, Esw=0.091809, Tsw=0.144000, Prb=0.062500, Eta=0.000033
Radio 6: TH=1548.800049, ETX=1.900000, Esw=0.850084, Tsw=0.441000, Prb=0.184900, Eta=0.000065
Radio 7: TH=793.799988, ETX=1.600000, Esw=0.327184, Tsw=0.036000, Prb=0.129600, Eta=0.000079
Radio 8: TH=45.000000, ETX=1.000000, Esw=0.602176, Tsw=0.900000, Prb=0.792100, Eta=0.000040
Radio 9: TH=405.000000, ETX=1.100000, Esw=0.042849, Tsw=0.400000, Prb=0.518400, Eta=0.000057
Radio 10: TH=33.799999, ETX=1.500000, Esw=0.334084, Tsw=0.729000, Prb=0.940900, Eta=0.000054
Radio 11: TH=1960.199951, ETX=1.500000, Esw=0.074529, Tsw=0.004000, Prb=0.006400, Eta=0.000067
N = 2882	D = 1.44	GnB	5	126	16	295	45	261	555	400	8	151	8	1011	4.867	1
N = 3388	D = 1.44	RTS	13	0	0	200	0	655	0	0	0	0	0	2533	0.642	1
N = 3388	D = 1.44	GLP	8427	0	0	200	0	655	0	0	0	0	0	2533	0.642	1
N = 3388	D = 1.44	GnB	5	148	19	346	53	307	653	470	10	177	10	1188	5.147	1
N = 3894	D = 1.44	RTS	13	0	0	706	0	655	0	0	0	0	0	2533	0.731	1
N = 3894	D = 1.44	GLP	7697	0	0	706	0	655	0	0	0	0	0	2533	0.731	1
N = 3894	D = 1.44	GnB	4	171	22	398	61	353	751	540	11	204	11	1366	5.385	1
N = 4400	D = 1.44	RTS	40	0	42	739	0	655	431	0	0	0	0	2533	2.111	1
N = 4400	D = 1.44	GLP	7512	0	0	739	0	655	0	473	0	0	0	2533	1.201	1
N = 4400	D = 1.44	GnB	5	193	25	450	69	399	848	611	13	231	13	1543	5.667	1
N = 4906	D = 1.44	RTS	13	0	42	739	0	655	937	0	0	0	0	2533	2.234	1
N = 4906	D = 1.44	GLP	7700	0	0	739	0	655	0	979	0	0	0	2533	1.347	1
N = 4906	D = 1.44	GnB	5	215	28	502	77	445	946	681	14	257	14	1721	5.901	1
N = 5412	D = 1.44	RTS	13	0	42	739	0	655	1392	51	0	0	0	2533	2.686	1
N = 5412	D = 1.44	GLP	7943	0	0	739	0	655	1392	0	0	93	0	2533	2.093	1
N = 5412	D = 1.44	GnB	5	237	31	554	85	491	1043	751	16	284	16	1898	6.183	1
N = 5918	D = 1.44	RTS	12	0	42	739	0	655	1392	557	0	0	0	2533	2.833	1
N = 5918	D = 1.44	GLP	7435	0	0	739	0	655	1392	599	0	0	0	2533	2.426	1
N = 5918	D = 1.44	GnB	5	260	34	605	93	537	1141	822	17	310	17	2076	6.420	1
N = 6424	D = 1.44	RTS	13	0	42	739	0	655	1392	1003	0	60	0	2533	3.085	1
N = 6424	D = 1.44	GLP	7579	0	0	739	0	655	1392	1003	0	102	0	2533	2.722	1
N = 6424	D = 1.44	GnB	5	282	37	657	101	583	1238	892	19	337	19	2254	6.701	1
N = 6930	D = 1.44	RTS	40	187	42	739	0	655	1392	1003	0	379	0	2533	4.492	1
N = 6930	D = 1.44	GLP	7463	229	0	739	0	655	1392	1003	0	379	0	2533	4.171	1
N = 6930	D = 1.44	GnB	5	304	40	709	109	628	1336	962	20	363	20	2431	6.935	1
N = 7436	D = 1.44	RTS(G)	3	326	43	761	117	674	1434	1033	22	390	22	2609	7.217	0
N = 7436	D = 1.44	GLP(G)	3	326	43	761	117	674	1434	1033	22	390	22	2609	7.217	0
N = 7436	D = 1.44	GnB(G)	24	326	43	761	117	674	1434	1033	22	390	22	2609	7.217	0
