Radio 1: TH=744.200012, ETX=1.200000, Esw=0.954529, Tsw=0.001000, Prb=1.000000, Eta=0.000072
Radio 2: TH=627.200012, ETX=1.200000, Esw=0.004900, Tsw=0.169000, Prb=0.656100, Eta=0.000001
Radio 3: TH=520.200012, ETX=1.800000, Esw=0.090000, Tsw=0.049000, Prb=0.902500, Eta=0.000013
Radio 4: TH=5.000000, ETX=1.300000, Esw=0.242064, Tsw=0.169000, Prb=0.280900, Eta=0.000057
Radio 5: TH=125.000000, ETX=1.900000, Esw=0.492804, Tsw=0.400000, Prb=0.036100, Eta=0.000041
Radio 6: TH=1065.800049, ETX=1.000000, Esw=0.439569, Tsw=0.121000, Prb=0.012100, Eta=0.000014
Radio 7: TH=1036.800049, ETX=1.700000, Esw=0.126736, Tsw=0.121000, Prb=0.012100, Eta=0.000037
Radio 8: TH=1729.800049, ETX=1.000000, Esw=0.310249, Tsw=0.004000, Prb=0.324900, Eta=0.000003
N = 3568	D = 1.44	GLP	7649	0	103	0	0	0	0	1230	2235	1.068	1
N = 3568	D = 1.44	GnB	5	478	356	323	2	58	628	611	1109	4.692	1
N = 3936	D = 1.44	RTS	9	0	0	0	0	0	1265	1230	1441	1.275	1
N = 3936	D = 1.44	GLP	7748	0	0	0	0	0	1265	1230	1441	1.275	1
N = 3936	D = 1.44	GnB	4	527	392	356	3	64	692	674	1224	4.945	1
N = 4304	D = 1.44	RTS	9	0	0	0	0	0	1265	1230	1809	1.346	1
N = 4304	D = 1.44	GLP	7854	0	0	0	0	0	1265	1230	1809	1.346	1
N = 4304	D = 1.44	GnB	4	577	429	390	3	70	757	737	1338	5.145	1
N = 4672	D = 1.44	RTS	9	0	0	0	0	0	1265	1230	2177	1.416	1
N = 4672	D = 1.44	GLP	7451	0	0	0	0	0	1265	1230	2177	1.416	1
N = 4672	D = 1.44	GnB	5	626	466	423	3	76	822	800	1453	5.342	1
N = 5040	D = 1.44	RTS	9	0	193	0	0	117	1265	1230	2235	2.170	1
N = 5040	D = 1.44	GLP	7210	0	310	0	0	0	1265	1230	2235	1.756	1
N = 5040	D = 1.44	GnB	4	675	503	456	4	82	887	863	1567	5.596	1
N = 5408	D = 1.44	RTS	9	0	561	0	0	117	1265	1230	2235	2.555	1
N = 5408	D = 1.44	GLP	8404	0	678	0	0	0	1265	1230	2235	2.142	1
N = 5408	D = 1.44	GnB	4	725	539	490	4	88	952	926	1682	5.795	1
