Radio 1: TH=1248.199951, ETX=1.000000, Esw=0.057600, Tsw=0.900000, Prb=0.396900, Eta=0.000033
Radio 2: TH=80.000000, ETX=1.900000, Esw=0.011236, Tsw=0.625000, Prb=0.372100, Eta=0.000093
Radio 3: TH=1729.800049, ETX=1.000000, Esw=0.419904, Tsw=0.225000, Prb=0.129600, Eta=0.000062
Radio 4: TH=768.799988, ETX=1.800000, Esw=0.002401, Tsw=0.484000, Prb=0.193600, Eta=0.000063
Radio 5: TH=583.200012, ETX=1.800000, Esw=0.305809, Tsw=0.009000, Prb=0.184900, Eta=0.000004
Radio 6: TH=1881.800049, ETX=1.200000, Esw=0.013225, Tsw=0.064000, Prb=0.019600, Eta=0.000029
Radio 7: TH=80.000000, ETX=1.300000, Esw=0.346921, Tsw=0.049000, Prb=0.160000, Eta=0.000001
Radio 8: TH=980.000000, ETX=1.100000, Esw=0.231361, Tsw=0.729000, Prb=0.435600, Eta=0.000017
Radio 9: TH=1248.199951, ETX=1.800000, Esw=0.024649, Tsw=0.361000, Prb=0.176400, Eta=0.000100
Radio 10: TH=336.200012, ETX=1.400000, Esw=0.589824, Tsw=0.256000, Prb=0.960400, Eta=0.000063
Radio 11: TH=480.200012, ETX=1.500000, Esw=0.082369, Tsw=0.025000, Prb=0.722500, Eta=0.000001
Radio 12: TH=387.200012, ETX=1.500000, Esw=0.236196, Tsw=0.016000, Prb=0.108900, Eta=0.000077
Radio 13: TH=1411.199951, ETX=1.100000, Esw=0.369664, Tsw=0.676000, Prb=0.490000, Eta=0.000025
Radio 14: TH=204.800003, ETX=1.900000, Esw=0.815409, Tsw=0.324000, Prb=0.624100, Eta=0.000096
Radio 15: TH=320.000000, ETX=1.000000, Esw=0.792100, Tsw=0.361000, Prb=0.025600, Eta=0.000039
Radio 16: TH=1065.800049, ETX=1.600000, Esw=0.080656, Tsw=0.400000, Prb=0.096100, Eta=0.000068
N = 2720	D = 1.20	GLP	17895	0	0	0	30	0	1923	0	0	0	0	0	0	0	0	0	767	0.347	1
N = 2720	D = 1.20	GnB	11	97	11	438	142	180	555	23	119	272	82	146	119	192	46	69	221	5.632	1
N = 2720	D = 1.24	RTS	30	0	0	476	0	0	1991	0	0	0	0	0	0	0	0	253	0	1.411	1
N = 2720	D = 1.24	GLP	15850	0	0	0	0	0	1991	0	0	0	0	0	0	0	0	0	729	0.329	1
N = 2720	D = 1.24	GnB	11	105	12	434	143	177	548	23	124	271	81	144	117	197	46	69	221	5.635	1
N = 2720	D = 1.44	RTS	30	0	0	80	0	0	2330	0	0	0	0	0	0	0	0	310	0	1.378	1
N = 2720	D = 1.44	GLP	16713	0	0	0	390	0	2330	0	0	0	0	0	0	0	0	0	0	0.263	1
N = 2720	D = 1.44	GnB	11	135	13	422	147	167	520	22	139	270	79	136	110	216	45	69	222	5.634	1
N = 3456	D = 1.44	RTS	30	0	0	816	0	0	2330	0	0	0	0	0	0	0	0	310	0	1.479	1
N = 3456	D = 1.44	GLP	16994	0	0	0	129	0	2330	0	0	0	0	0	0	0	0	0	997	0.447	1
N = 3456	D = 1.44	GnB	11	171	16	536	187	212	660	28	177	343	101	173	140	275	58	88	282	5.976	1
N = 4192	D = 1.44	RTS	30	0	0	1552	0	0	2330	0	0	0	0	0	0	0	0	310	0	1.580	1
N = 4192	D = 1.44	GLP	15422	0	0	0	0	0	2330	0	0	865	0	0	0	0	0	0	997	0.700	1
N = 4192	D = 1.44	GnB	11	208	20	650	227	258	801	34	215	416	123	210	170	333	70	106	343	6.320	1
N = 4928	D = 1.44	RTS	30	0	0	1891	0	0	2330	0	0	0	0	0	0	0	0	310	397	1.786	1
N = 4928	D = 1.44	GLP	14022	0	0	0	389	0	2330	0	0	1212	0	0	0	0	0	0	997	0.956	1
