Radio 1: TH=336.200012, ETX=1.400000, Esw=0.440896, Tsw=0.676000, Prb=0.022500, Eta=0.000074
Radio 2: TH=1805.000000, ETX=1.400000, Esw=0.343396, Tsw=0.121000, Prb=0.057600, Eta=0.000070
Radio 3: TH=720.000000, ETX=1.600000, Esw=0.408321, Tsw=0.025000, Prb=0.193600, Eta=0.000020
Radio 4: TH=369.799988, ETX=1.300000, Esw=0.436921, Tsw=0.196000, Prb=0.756900, Eta=0.000055
Radio 5: TH=1185.800049, ETX=1.800000, Esw=0.243049, Tsw=0.225000, Prb=0.044100, Eta=0.000056
Radio 6: TH=16.200001, ETX=1.000000, Esw=0.037249, Tsw=0.529000, Prb=0.032400, Eta=0.000007
Radio 7: TH=1920.800049, ETX=1.400000, Esw=0.835396, Tsw=0.025000, Prb=0.722500, Eta=0.000037
Radio 8: TH=649.799988, ETX=1.500000, Esw=0.034225, Tsw=0.225000, Prb=0.102400, Eta=0.000080
Radio 9: TH=39.200001, ETX=1.300000, Esw=0.196249, Tsw=0.676000, Prb=0.004900, Eta=0.000029
Radio 10: TH=204.800003, ETX=1.300000, Esw=0.229441, Tsw=0.016000, Prb=0.640000, Eta=0.000099
N = 3080	D = 1.44	GnB	4	84	780	333	150	472	4	890	258	9	95	4.575	1
N = 3540	D = 1.44	RTS	13	76	2142	0	0	1296	0	0	0	26	0	1.698	1
N = 3540	D = 1.44	GLP	7653	0	2142	0	0	1296	0	0	102	0	0	1.106	1
N = 3540	D = 1.44	GnB	4	96	896	383	173	542	5	1023	297	11	109	4.781	1
N = 4000	D = 1.44	RTS	13	231	2142	0	0	1296	0	0	305	26	0	1.843	1
N = 4000	D = 1.44	GLP	7287	0	2142	0	0	1296	0	0	562	0	0	1.234	1
N = 4000	D = 1.44	GnB	4	109	1012	433	195	613	6	1156	335	12	124	4.988	1
N = 4460	D = 1.44	RTS	13	231	2142	55	0	1296	0	0	710	26	0	2.380	1
N = 4460	D = 1.44	GLP	8023	0	2142	312	0	1296	0	0	710	0	0	1.777	1
N = 4460	D = 1.44	GnB	4	121	1129	483	218	683	7	1289	374	14	138	5.195	1
N = 4920	D = 1.44	RTS	13	231	2142	515	0	1296	0	0	710	26	0	2.519	1
N = 4920	D = 1.44	GLP	7634	0	2142	772	0	1296	0	0	710	0	0	1.915	1
N = 4920	D = 1.44	GnB	4	134	1245	533	240	754	7	1422	413	15	152	5.397	1
N = 5380	D = 1.44	RTS	13	231	2142	916	0	1296	0	59	710	26	0	3.500	1
N = 5380	D = 1.44	GLP	7468	0	2142	0	0	1296	0	1232	710	0	0	2.637	1
N = 5380	D = 1.44	GnB	4	146	1362	583	263	824	8	1555	451	17	166	5.603	1
N = 5840	D = 1.44	RTS	13	231	2142	916	0	1296	0	519	710	26	0	3.697	1
N = 5840	D = 1.44	GLP	7584	0	2142	0	0	1296	0	1692	710	0	0	2.834	1
N = 5840	D = 1.44	GnB	4	159	1478	632	285	895	9	1688	490	18	181	5.810	1
N = 6300	D = 1.44	RTS	11	231	2142	916	0	1296	0	979	710	26	0	3.894	1
N = 6300	D = 1.44	GLP	7226	0	2142	0	0	1296	0	2152	710	0	0	3.031	1
N = 6300	D = 1.44	GnB	4	172	1595	682	308	965	9	1821	529	20	195	6.014	1
N = 6760	D = 1.44	RTS	14	231	2142	916	0	1296	0	1439	710	26	0	4.091	1
N = 6760	D = 1.44	GLP	7652	0	2142	916	0	1296	0	1696	710	0	0	3.520	1
N = 6760	D = 1.44	GnB	4	184	1711	732	330	1036	10	1954	567	21	209	6.218	1
