Radio 1: TH=64.800003, ETX=1.300000, Esw=0.303601, Tsw=0.121000, Prb=0.640000, Eta=0.000001
Radio 2: TH=1377.800049, ETX=1.400000, Esw=0.032041, Tsw=0.121000, Prb=0.072900, Eta=0.000021
Radio 3: TH=135.199997, ETX=1.700000, Esw=0.175561, Tsw=0.784000, Prb=0.019600, Eta=0.000066
Radio 4: TH=39.200001, ETX=1.400000, Esw=0.697225, Tsw=0.144000, Prb=0.348100, Eta=0.000037
Radio 5: TH=1548.800049, ETX=1.800000, Esw=0.855625, Tsw=0.036000, Prb=0.176400, Eta=0.000091
Radio 6: TH=649.799988, ETX=1.100000, Esw=0.141376, Tsw=0.081000, Prb=0.672400, Eta=0.000007
Radio 7: TH=696.200012, ETX=1.500000, Esw=0.053824, Tsw=0.081000, Prb=0.211600, Eta=0.000010
Radio 8: TH=744.200012, ETX=1.200000, Esw=0.687241, Tsw=0.081000, Prb=0.000400, Eta=0.000042
Radio 9: TH=1843.199951, ETX=1.700000, Esw=0.277729, Tsw=0.121000, Prb=0.044100, Eta=0.000085
Radio 10: TH=72.199997, ETX=1.900000, Esw=0.081225, Tsw=0.529000, Prb=0.577600, Eta=0.000026
Radio 11: TH=1445.000000, ETX=1.300000, Esw=0.190969, Tsw=0.121000, Prb=0.176400, Eta=0.000070
Radio 12: TH=72.199997, ETX=1.100000, Esw=0.970225, Tsw=0.400000, Prb=0.864900, Eta=0.000082
Radio 13: TH=720.000000, ETX=1.200000, Esw=0.126736, Tsw=0.064000, Prb=0.102400, Eta=0.000010
Radio 14: TH=1344.800049, ETX=1.600000, Esw=0.142129, Tsw=0.900000, Prb=0.008100, Eta=0.000049
Radio 15: TH=1843.199951, ETX=1.700000, Esw=0.011664, Tsw=0.100000, Prb=0.490000, Eta=0.000035
N = 2550	D = 1.24	RTS	16	0	1363	0	0	0	0	0	776	0	0	0	0	0	411	0	1.048	1
N = 2550	D = 1.24	GLP	8878	0	1387	0	0	0	0	0	0	0	0	0	0	762	0	401	0.533	1
N = 2550	D = 1.24	GnB	5	14	297	11	8	360	145	155	166	398	9	312	11	163	88	405	5.796	1
N = 2550	D = 1.44	RTS	17	0	987	0	0	0	0	0	910	0	0	0	0	0	653	0	1.044	1
N = 2550	D = 1.44	GLP	9557	0	1635	0	0	0	0	0	0	0	0	0	0	891	0	24	0.450	1
N = 2550	D = 1.44	GnB	5	13	294	14	8	352	143	153	164	394	10	309	12	160	117	400	5.801	1
N = 3240	D = 1.44	RTS	16	0	1635	0	0	0	0	0	910	0	0	0	0	42	653	0	1.231	1
N = 3240	D = 1.44	GLP	8784	0	1635	0	0	0	0	0	0	0	0	0	0	891	653	61	0.660	1
N = 3240	D = 1.44	GnB	5	17	374	18	10	448	181	194	208	501	13	392	15	204	149	508	6.088	1
N = 3930	D = 1.44	RTS	17	0	1635	0	0	0	0	0	910	0	0	0	0	732	653	0	1.337	1
N = 3930	D = 1.44	GLP	9361	0	1635	0	0	0	0	0	0	2188	0	0	0	0	0	107	0.859	1
N = 3930	D = 1.44	GnB	6	21	454	22	12	543	220	236	252	607	16	476	18	247	181	617	6.377	1
N = 4620	D = 1.44	RTS	17	0	1635	0	0	0	0	0	910	531	0	0	0	891	653	0	1.729	1
N = 4620	D = 1.44	GLP	8715	0	1635	0	0	0	0	0	0	2188	0	0	0	0	653	144	1.069	1
N = 4620	D = 1.44	GnB	5	25	534	26	14	638	259	278	297	714	19	560	22	291	213	725	6.678	1
N = 5310	D = 1.44	RTS	16	0	1635	0	0	0	0	0	910	1221	0	0	0	891	653	0	1.845	1
N = 5310	D = 1.44	GLP	8358	0	1635	0	0	0	0	0	0	2131	0	0	0	891	653	0	1.265	1
N = 5310	D = 1.44	GnB	5	28	613	29	17	734	298	319	341	821	22	643	25	334	245	834	6.965	1
N = 6000	D = 1.44	RTS	15	0	1635	0	0	0	0	0	910	1911	0	0	0	891	653	0	1.961	1
N = 6000	D = 1.44	GLP	8297	0	1635	0	0	0	0	0	0	2188	0	0	0	891	653	633	1.492	1
N = 6000	D = 1.44	GnB	6	32	693	33	19	829	337	361	385	927	25	727	28	378	277	942	7.253	1
N = 6690	D = 1.44	RTS	16	0	1635	0	0	0	0	0	910	2188	0	413	0	891	653	0	2.287	1
N = 6690	D = 1.44	GLP	8851	0	1635	0	0	0	0	0	0	2188	0	0	0	891	653	1323	1.716	1
N = 6690	D = 1.44	GnB	5	36	773	37	21	925	375	402	430	1034	27	811	31	421	309	1050	7.532	1
N = 7380	D = 1.44	RTS	16	0	1635	0	0	0	0	0	910	2188	0	1103	0	891	653	0	2.434	1
N = 7380	D = 1.44	GLP	7941	0	1635	0	0	0	0	0	0	2188	0	1715	0	891	653	298	1.939	1
N = 7380	D = 1.44	GnB	6	40	853	41	23	1020	414	444	474	1141	30	894	35	465	340	1159	7.833	1
N = 8070	D = 1.44	RTS	16	0	1635	78	0	0	0	0	910	2188	0	1715	0	891	653	0	2.760	1
N = 8070	D = 1.44	GLP	8087	0	1635	0	0	0	0	0	0	2188	0	1715	0	891	653	988	2.164	1
N = 8070	D = 1.44	GnB	6	43	932	45	26	1116	453	485	519	1247	33	978	38	508	372	1267	8.120	1
N = 8760	D = 1.44	RTS	16	0	1635	79	0	689	0	0	910	2188	0	1715	0	891	653	0	3.807	1
N = 8760	D = 1.44	GLP	7885	0	1635	0	0	0	0	0	0	2188	0	1715	0	891	653	1678	2.388	1
N = 8760	D = 1.44	GnB	5	47	1012	49	28	1211	492	527	563	1354	36	1061	41	552	404	1376	8.409	1
N = 9450	D = 1.44	RTS	16	0	1635	79	0	1379	0	0	910	2188	0	1715	0	891	653	0	3.999	1
N = 9450	D = 1.44	GLP	8067	0	1635	0	0	0	0	851	0	2188	0	1715	0	891	653	1517	2.661	1
N = 9450	D = 1.44	GnB	5	51	1092	53	30	1307	530	568	607	1461	39	1145	45	595	436	1484	8.708	1
N = 10140	D = 1.44	RTS	16	0	1635	79	0	1957	0	112	910	2188	0	1715	0	891	653	0	4.249	1
N = 10140	D = 1.44	GLP	8072	0	1635	0	0	0	0	851	0	2188	0	1715	0	891	653	2207	2.886	1
N = 10140	D = 1.44	GnB	6	55	1172	57	32	1402	569	610	652	1567	42	1229	48	638	468	1592	8.997	1
