Radio 1: TH=217.800003, ETX=1.800000, Esw=0.822649, Tsw=0.324000, Prb=0.129600, Eta=0.000009
Radio 2: TH=1.800000, ETX=1.200000, Esw=0.000196, Tsw=0.529000, Prb=0.078400, Eta=0.000078
Radio 3: TH=1920.800049, ETX=1.000000, Esw=0.149769, Tsw=0.100000, Prb=0.656100, Eta=0.000050
Radio 4: TH=20.000000, ETX=1.200000, Esw=0.139129, Tsw=0.484000, Prb=0.000400, Eta=0.000042
Radio 5: TH=1767.199951, ETX=1.100000, Esw=0.043264, Tsw=0.484000, Prb=0.067600, Eta=0.000038
Radio 6: TH=1960.199951, ETX=1.800000, Esw=0.173056, Tsw=0.625000, Prb=0.003600, Eta=0.000003
Radio 7: TH=845.000000, ETX=1.700000, Esw=0.227529, Tsw=0.064000, Prb=0.016900, Eta=0.000057
Radio 8: TH=627.200012, ETX=1.900000, Esw=0.007569, Tsw=0.576000, Prb=0.640000, Eta=0.000019
Radio 9: TH=369.799988, ETX=1.000000, Esw=0.304704, Tsw=0.049000, Prb=0.280900, Eta=0.000053
Radio 10: TH=16.200001, ETX=1.700000, Esw=0.173889, Tsw=0.036000, Prb=0.090000, Eta=0.000042
Radio 11: TH=583.200012, ETX=1.900000, Esw=0.250000, Tsw=0.441000, Prb=0.136900, Eta=0.000058
Radio 12: TH=1155.199951, ETX=1.000000, Esw=0.216225, Tsw=0.144000, Prb=0.624100, Eta=0.000077
Radio 13: TH=12.800000, ETX=1.500000, Esw=0.192721, Tsw=0.576000, Prb=0.096100, Eta=0.000070
Radio 14: TH=845.000000, ETX=1.400000, Esw=0.372100, Tsw=0.256000, Prb=0.828100, Eta=0.000014
N = 2380	D = 1.44	RTS	14	0	0	0	17	926	1437	0	0	0	0	0	0	0	0	0.441	1
N = 2380	D = 1.44	GLP	7991	0	0	0	0	943	1437	0	0	0	0	0	0	0	0	0.302	1
N = 2380	D = 1.44	GnB	5	50	0	534	3	350	331	241	112	106	4	121	310	2	207	4.053	1
N = 3024	D = 1.44	RTS	14	0	0	0	17	1520	1437	50	0	0	0	0	0	0	0	0.722	1
N = 3024	D = 1.44	GLP	8843	0	0	0	0	1520	1437	0	67	0	0	0	0	0	0	0.427	1
N = 3024	D = 1.44	GnB	5	64	0	679	5	445	421	306	143	135	6	153	395	2	264	4.323	1
N = 3668	D = 1.44	RTS	14	0	0	0	17	1520	1437	694	0	0	0	0	0	0	0	0.797	1
N = 3668	D = 1.44	GLP	8409	0	0	0	0	1520	1437	711	0	0	0	0	0	0	0	0.659	1
N = 3668	D = 1.44	GnB	5	77	0	823	6	540	511	372	173	164	7	186	479	3	320	4.591	1
N = 4312	D = 1.44	RTS	14	0	0	0	17	1520	1437	1046	0	0	0	292	0	0	0	1.189	1
N = 4312	D = 1.44	GLP	8458	0	0	309	0	1520	1437	1046	0	0	0	0	0	0	0	0.969	1
N = 4312	D = 1.44	GnB	5	91	0	968	7	635	601	437	203	193	8	219	563	4	376	4.860	1
N = 4956	D = 1.44	RTS	14	0	0	412	17	1520	1437	1046	0	0	0	524	0	0	0	1.580	1
N = 4956	D = 1.44	GLP	8037	0	0	953	0	1520	1437	1046	0	0	0	0	0	0	0	1.221	1
N = 4956	D = 1.44	GnB	5	105	0	1113	8	730	691	502	234	222	9	252	647	4	432	5.122	1
N = 5600	D = 1.44	RTS	14	0	0	1056	17	1520	1437	1046	0	0	0	524	0	0	0	1.833	1
N = 5600	D = 1.44	GLP	7773	0	0	1597	0	1520	1437	1046	0	0	0	0	0	0	0	1.473	1
N = 5600	D = 1.44	GnB	5	118	0	1257	9	825	780	568	264	251	11	284	731	5	488	5.395	1
N = 6244	D = 1.44	RTS	14	0	0	1700	17	1520	1437	1046	0	0	0	524	0	0	0	2.085	1
N = 6244	D = 1.44	GLP	7888	0	0	2241	0	1520	1437	1046	0	0	0	0	0	0	0	1.725	1
N = 6244	D = 1.44	GnB	5	132	0	1402	10	920	870	633	295	280	12	317	815	6	545	5.667	1
N = 6888	D = 1.44	RTS	17	0	0	2316	17	1520	1437	1046	0	0	0	524	28	0	0	2.559	1
N = 6888	D = 1.44	GLP	8067	0	0	2316	0	1520	1437	1046	45	0	0	524	0	0	0	2.241	1
N = 6888	D = 1.44	GnB	6	146	0	1547	11	1015	960	698	325	309	13	350	900	6	601	5.928	1
N = 7532	D = 1.44	RTS	16	0	0	2316	17	1520	1437	1046	0	0	0	524	672	0	0	2.957	1
N = 7532	D = 1.44	GLP	7998	0	0	2316	0	1520	1437	1046	0	0	0	0	1213	0	0	2.720	1
N = 7532	D = 1.44	GnB	6	159	1	1691	12	1110	1050	764	356	338	14	382	984	7	657	6.241	1
N = 8176	D = 1.44	RTS	16	0	0	2316	17	1520	1437	1046	0	0	0	524	1316	0	0	3.354	1
N = 8176	D = 1.44	GLP	7911	0	0	2316	0	1520	1437	1046	0	0	0	524	1333	0	0	3.225	1
N = 8176	D = 1.44	GnB	5	173	1	1836	13	1205	1139	829	386	367	16	415	1068	7	713	6.508	1
N = 8820	D = 1.44	RTS	14	218	0	2316	17	1520	1437	1046	0	395	0	524	1347	0	0	4.955	1
N = 8820	D = 1.44	GLP	8220	0	0	2316	0	1520	1437	1046	168	462	0	524	1347	0	0	4.098	1
N = 8820	D = 1.44	GnB	5	187	1	1981	14	1300	1229	895	417	395	17	448	1152	8	770	6.778	1
N = 9464	D = 1.44	RTS	15	218	0	2316	17	1520	1437	1046	0	462	0	524	1347	0	577	5.958	1
N = 9464	D = 1.44	GLP	7694	0	0	2316	0	1520	1437	1046	374	0	0	524	1347	0	900	4.908	1
N = 9464	D = 1.44	GnB	5	200	1	2125	15	1395	1319	960	447	424	18	481	1236	9	826	7.046	1
