Radio 1: TH=3.200000, ETX=1.700000, Esw=0.874225, Tsw=0.009000, Prb=0.577600, Eta=0.000065
Radio 2: TH=1881.800049, ETX=1.600000, Esw=0.067081, Tsw=0.289000, Prb=0.980100, Eta=0.000071
Radio 3: TH=605.000000, ETX=1.600000, Esw=0.654481, Tsw=0.064000, Prb=0.002500, Eta=0.000012
Radio 4: TH=352.799988, ETX=1.000000, Esw=0.000961, Tsw=0.064000, Prb=0.532900, Eta=0.000028
Radio 5: TH=288.799988, ETX=1.100000, Esw=0.051984, Tsw=0.009000, Prb=0.019600, Eta=0.000022
Radio 6: TH=1960.199951, ETX=1.800000, Esw=0.408321, Tsw=0.256000, Prb=0.096100, Eta=0.000066
Radio 7: TH=0.800000, ETX=1.800000, Esw=0.171396, Tsw=0.900000, Prb=0.220900, Eta=0.000064
N = 3444	D = 1.44	GnB	4	2	1198	460	268	228	1284	0	3.838	1
N = 3766	D = 1.44	RTS	11	0	558	749	0	371	2088	0	1.938	1
N = 3766	D = 1.44	GLP	7024	0	1307	0	0	371	2088	0	1.741	1
N = 3766	D = 1.44	GnB	5	2	1310	503	293	250	1404	0	3.971	1
N = 4088	D = 1.44	RTS	9	0	880	749	0	371	2088	0	2.142	1
N = 4088	D = 1.44	GLP	6914	0	1629	0	0	371	2088	0	1.945	1
N = 4088	D = 1.44	GnB	4	3	1422	546	318	271	1524	0	4.284	1
N = 4410	D = 1.44	RTS	10	0	1202	749	0	371	2088	0	2.347	1
N = 4410	D = 1.44	GLP	7308	0	1949	0	2	371	2088	0	2.153	1
N = 4410	D = 1.44	GnB	4	3	1534	589	344	292	1644	0	4.418	1
N = 4732	D = 1.44	RTS	27	0	1524	749	0	371	2088	0	2.551	1
N = 4732	D = 1.44	GLP	7046	0	1524	749	0	371	2088	0	2.551	1
N = 4732	D = 1.44	GnB	4	3	1646	633	369	314	1764	0	4.551	1
