Radio 1: TH=1065.800049, ETX=1.700000, Esw=0.069169, Tsw=0.144000, Prb=0.010000, Eta=0.000097
Radio 2: TH=1008.200012, ETX=1.600000, Esw=0.525625, Tsw=0.049000, Prb=0.302500, Eta=0.000023
Radio 3: TH=0.200000, ETX=1.600000, Esw=0.065536, Tsw=0.196000, Prb=0.010000, Eta=0.000038
Radio 4: TH=105.800003, ETX=1.700000, Esw=0.030276, Tsw=0.784000, Prb=0.722500, Eta=0.000064
Radio 5: TH=72.199997, ETX=1.800000, Esw=0.303601, Tsw=0.081000, Prb=0.052900, Eta=0.000079
Radio 6: TH=145.800003, ETX=1.400000, Esw=0.588289, Tsw=0.361000, Prb=0.028900, Eta=0.000028
Radio 7: TH=273.799988, ETX=1.800000, Esw=0.030276, Tsw=0.001000, Prb=0.022500, Eta=0.000080
Radio 8: TH=1411.199951, ETX=1.600000, Esw=0.009216, Tsw=0.121000, Prb=0.810000, Eta=0.000005
Radio 9: TH=156.800003, ETX=1.300000, Esw=0.004225, Tsw=0.529000, Prb=0.846400, Eta=0.000049
Radio 10: TH=924.799988, ETX=1.900000, Esw=0.302500, Tsw=0.324000, Prb=0.656100, Eta=0.000072
Radio 11: TH=1881.800049, ETX=1.600000, Esw=0.070756, Tsw=0.225000, Prb=0.902500, Eta=0.000034
Radio 12: TH=352.799988, ETX=1.000000, Esw=0.327184, Tsw=0.049000, Prb=0.193600, Eta=0.000038
N = 2592	D = 1.44	GnB	5	384	390	0	19	27	43	109	517	39	287	636	136	3.826	1
N = 3144	D = 1.44	RTS	14	1243	1262	0	0	0	141	354	0	0	0	144	0	2.116	1
N = 3144	D = 1.44	GLP	8068	1243	0	0	0	0	0	354	0	0	0	1547	0	1.293	1
N = 3144	D = 1.44	GnB	5	466	473	0	23	33	53	132	628	48	348	771	165	4.163	1
N = 3696	D = 1.44	RTS	13	1243	1262	0	0	0	141	354	0	0	0	696	0	2.411	1
N = 3696	D = 1.44	GLP	9194	1243	0	0	0	0	0	354	42	0	0	2057	0	1.599	1
N = 3696	D = 1.44	GnB	5	547	556	0	27	38	62	156	738	56	409	907	194	4.494	1
N = 4248	D = 1.44	RTS	13	1243	1262	0	0	0	141	354	0	0	0	1248	0	2.706	1
N = 4248	D = 1.44	GLP	8230	1243	0	0	0	0	0	354	594	0	0	2057	0	1.920	1
N = 4248	D = 1.44	GnB	5	629	639	0	31	44	71	179	848	65	470	1042	223	4.830	1
N = 4800	D = 1.44	RTS	14	1243	1262	0	0	0	141	354	0	0	0	1800	0	3.001	1
N = 4800	D = 1.44	GLP	12731	1243	0	0	0	0	0	354	1146	0	0	2057	0	2.241	1
N = 4800	D = 1.44	GnB	5	711	722	0	35	50	81	203	959	73	531	1178	252	5.163	1
N = 5352	D = 1.44	RTS	13	1243	1262	0	0	0	141	354	295	0	0	2057	0	3.319	1
N = 5352	D = 1.44	GLP	9189	1243	0	0	0	0	0	354	1675	23	0	2057	0	2.679	1
N = 5352	D = 1.44	GnB	5	793	805	0	39	56	90	226	1069	82	592	1313	281	5.500	1
N = 5904	D = 1.44	RTS	13	1243	1262	0	0	0	141	354	847	0	0	2057	0	3.640	1
N = 5904	D = 1.44	GLP	8494	1243	1262	0	0	0	0	354	988	0	0	2057	0	3.100	1
N = 5904	D = 1.44	GnB	5	875	888	0	43	62	99	249	1179	90	654	1448	311	5.832	1
N = 6456	D = 1.44	RTS	13	1243	1262	0	0	0	141	354	1399	0	0	2057	0	3.961	1
N = 6456	D = 1.44	GLP	8101	1243	1262	0	0	0	0	354	1540	0	0	2057	0	3.422	1
N = 6456	D = 1.44	GnB	5	957	971	0	48	67	109	273	1289	98	715	1584	340	6.170	1
N = 7008	D = 1.44	RTS	13	1243	1262	0	0	0	141	354	1675	0	0	2057	276	4.611	1
N = 7008	D = 1.44	GLP	8261	1243	1262	0	0	0	0	354	1675	0	0	2057	417	4.072	1
N = 7008	D = 1.44	GnB	5	1039	1054	0	52	73	118	296	1400	107	776	1719	369	6.507	1
N = 7560	D = 1.44	RTS	13	1243	1262	0	0	0	141	354	1675	0	387	2057	441	5.338	1
N = 7560	D = 1.44	GLP	8264	1243	1262	0	0	0	0	354	1675	0	528	2057	441	4.835	1
N = 7560	D = 1.44	GnB	5	1120	1138	0	56	79	127	319	1510	115	837	1855	398	6.839	1
N = 8112	D = 1.44	RTS	14	1243	1262	0	0	11	141	354	1675	0	928	2057	441	6.109	1
N = 8112	D = 1.44	GLP	8392	1243	1262	0	0	0	141	354	1675	11	928	2057	441	5.860	1
N = 8112	D = 1.44	GnB	5	1202	1221	0	60	85	136	343	1620	124	898	1990	427	7.176	1
