Radio 1: TH=744.200012, ETX=1.400000, Esw=0.525625, Tsw=0.225000, Prb=0.028900, Eta=0.000028
Radio 2: TH=500.000000, ETX=1.200000, Esw=0.438244, Tsw=0.256000, Prb=0.010000, Eta=0.000058
Radio 3: TH=336.200012, ETX=1.200000, Esw=0.879844, Tsw=0.576000, Prb=0.280900, Eta=0.000095
Radio 4: TH=0.800000, ETX=1.600000, Esw=0.220900, Tsw=0.064000, Prb=0.202500, Eta=0.000095
Radio 5: TH=1548.800049, ETX=1.300000, Esw=0.004624, Tsw=0.064000, Prb=0.052900, Eta=0.000035
Radio 6: TH=871.200012, ETX=1.200000, Esw=0.303601, Tsw=0.400000, Prb=0.348100, Eta=0.000019
Radio 7: TH=952.200012, ETX=1.900000, Esw=0.261121, Tsw=0.484000, Prb=0.003600, Eta=0.000072
Radio 8: TH=1656.199951, ETX=1.700000, Esw=0.030276, Tsw=0.361000, Prb=0.532900, Eta=0.000079
Radio 9: TH=105.800003, ETX=1.400000, Esw=0.511225, Tsw=0.576000, Prb=0.000400, Eta=0.000011
N = 1530	D = 0.80	RTS	23	385	99	0	0	1025	0	0	0	21	1.601	1
N = 1530	D = 0.80	GLP	13162	0	0	0	0	1025	0	0	505	0	0.347	1
N = 1530	D = 0.80	GnB	7	197	125	34	0	525	160	138	335	10	3.295	1
N = 1530	D = 0.84	RTS	17	411	13	0	0	1081	0	0	0	25	1.600	1
N = 1530	D = 0.84	GLP	13106	0	0	0	0	1081	0	0	449	0	0.326	1
N = 1530	D = 0.84	GnB	7	195	124	37	0	513	163	144	338	11	3.300	1
N = 1530	D = 0.88	RTS	18	438	0	0	0	1064	0	0	0	28	1.161	1
N = 1530	D = 0.88	GLP	13049	0	0	0	0	1137	0	0	393	0	0.305	1
N = 1530	D = 0.88	GnB	7	193	123	40	0	501	166	149	341	12	3.305	1
N = 1530	D = 0.92	RTS	18	465	0	0	0	1033	0	0	0	32	1.161	1
N = 1530	D = 0.92	GLP	13292	0	0	0	0	1193	0	0	337	0	0.284	1
N = 1530	D = 0.92	GnB	7	191	123	42	0	492	168	154	343	13	3.309	1
N = 1530	D = 0.96	RTS	18	492	0	0	0	1002	0	0	0	36	1.160	1
N = 1530	D = 0.96	GLP	13295	0	0	0	0	1248	0	0	282	0	0.263	1
N = 1530	D = 0.96	GnB	7	190	122	44	0	483	170	157	345	14	3.312	1
N = 1530	D = 1.00	RTS	18	519	0	0	0	971	0	0	0	40	1.160	1
N = 1530	D = 1.00	GLP	13058	0	0	0	0	1304	0	0	226	0	0.242	1
N = 1530	D = 1.00	GnB	7	189	122	46	0	476	171	161	347	14	3.315	1
N = 1530	D = 1.04	RTS	17	545	0	0	0	941	0	0	0	44	1.160	1
N = 1530	D = 1.04	GLP	13359	0	0	0	0	1360	0	0	170	0	0.221	1
N = 1530	D = 1.04	GnB	8	188	121	48	0	469	173	164	349	15	3.319	1
N = 1530	D = 1.08	RTS	18	572	0	0	0	911	0	0	0	47	1.160	1
N = 1530	D = 1.08	GLP	13670	0	0	0	0	1416	0	0	114	0	0.200	1
N = 1530	D = 1.08	GnB	8	187	121	49	0	463	174	167	350	15	3.320	1
N = 1530	D = 1.12	RTS	18	599	0	0	0	880	0	0	0	51	1.159	1
N = 1530	D = 1.12	GLP	13343	0	0	0	0	1471	0	0	59	0	0.179	1
N = 1530	D = 1.12	GnB	8	186	120	51	0	457	175	169	351	16	3.323	1
N = 1530	D = 1.16	RTS	18	626	0	0	0	849	0	0	0	55	1.159	1
N = 1530	D = 1.16	GLP	13645	0	0	0	0	1527	0	0	3	0	0.158	1
N = 1530	D = 1.16	GnB	7	185	120	52	0	452	176	171	353	16	3.325	1
N = 1530	D = 1.20	RTS	13	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1530	D = 1.20	GLP	12937	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1530	D = 1.20	GnB	5	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1530	D = 1.24	RTS	12	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1530	D = 1.24	GLP	12940	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1530	D = 1.24	GnB	5	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1530	D = 1.44	RTS	12	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1530	D = 1.44	GLP	13026	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1530	D = 1.44	GnB	5	0	0	0	0	1530	0	0	0	0	0.126	1
N = 1944	D = 1.44	RTS	20	813	0	0	0	1049	0	0	0	82	1.190	1
N = 1944	D = 1.44	GLP	13750	0	0	0	0	1918	0	0	26	0	0.200	1
N = 1944	D = 1.44	GnB	8	230	151	74	0	544	231	232	456	23	3.438	1
N = 2358	D = 1.44	RTS	20	813	0	0	0	1463	0	0	0	82	1.223	1
N = 2358	D = 1.44	GLP	13763	0	0	0	0	1918	0	0	440	0	0.388	1
N = 2358	D = 1.44	GnB	8	280	183	89	0	660	280	281	553	28	3.540	1
N = 2772	D = 1.44	RTS	19	813	0	0	0	1877	0	0	0	82	1.256	1
N = 2772	D = 1.44	GLP	13656	0	0	0	0	1918	0	819	35	0	0.580	1
N = 2772	D = 1.44	GnB	8	329	215	105	0	775	329	331	650	33	3.643	1
N = 3186	D = 1.44	RTS	19	813	373	0	0	1918	0	0	0	82	1.731	1
N = 3186	D = 1.44	GLP	13426	0	0	0	0	1918	0	819	449	0	0.769	1
N = 3186	D = 1.44	GnB	7	378	247	121	0	891	379	380	747	38	3.747	1
N = 3600	D = 1.44	RTS	20	813	532	0	0	1918	0	255	0	82	2.042	1
N = 3600	D = 1.44	GLP	8306	0	0	0	0	1918	0	819	863	0	0.958	1
N = 3600	D = 1.44	GnB	4	427	279	137	0	1007	428	430	844	43	3.850	1
N = 4014	D = 1.44	RTS	11	813	532	0	0	1918	0	669	0	82	2.100	1
N = 4014	D = 1.44	GLP	7078	0	0	0	0	1918	0	819	1277	0	1.146	1
N = 4014	D = 1.44	GnB	6	476	312	153	0	1123	477	479	942	48	3.954	1
N = 4428	D = 1.44	RTS	11	813	532	0	0	1918	264	819	0	82	2.537	1
N = 4428	D = 1.44	GLP	7643	813	0	0	0	1918	0	819	878	0	1.553	1
N = 4428	D = 1.44	GnB	4	525	344	168	0	1239	526	529	1039	53	4.056	1
N = 4842	D = 1.44	RTS	12	813	532	0	0	1918	678	819	0	82	2.711	1
N = 4842	D = 1.44	GLP	7735	813	0	0	0	1918	0	819	1292	0	1.742	1
N = 4842	D = 1.44	GnB	4	575	376	184	0	1355	576	578	1136	58	4.159	1
N = 5256	D = 1.44	RTS	13	813	532	0	0	1918	815	819	277	82	2.926	1
N = 5256	D = 1.44	GLP	7805	813	532	0	0	1918	0	819	1174	0	2.174	1
N = 5256	D = 1.44	GnB	4	624	408	200	0	1471	625	628	1233	63	4.263	1
N = 5670	D = 1.44	RTS	11	813	532	0	0	1918	815	819	691	82	3.115	1
N = 5670	D = 1.44	GLP	7464	813	532	0	0	1918	0	819	1588	0	2.363	1
N = 5670	D = 1.44	GnB	4	673	440	216	0	1587	674	677	1330	68	4.366	1
N = 6084	D = 1.44	RTS	12	813	532	0	0	1918	815	819	1105	82	3.303	1
N = 6084	D = 1.44	GLP	7280	813	532	0	0	1918	815	819	1187	0	2.828	1
N = 6084	D = 1.44	GnB	4	722	473	232	0	1702	724	727	1427	73	4.469	1
