--- N = 850 --- D = 0.80 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
--- N = 850 --- D = 0.80 ---
* * * Solver: GnB * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
(G)	17	607	0	135	103	3	0,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	63	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	59	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	8	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	57	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	9	607	0	135	103	3	1,-,1,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	71	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	6	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
(G)	7	607	0	135	103	3	1,-,0,0,1,	0	0.663	0
--- N = 850 --- D = 0.84 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	59	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	53	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	61	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	8	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	0,1,1,1,1,	0	0.751	0
(G)	18	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	510	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
--- N = 850 --- D = 0.84 ---
* * * Solver: GLP * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	17	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	15	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	62	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	8	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	16	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	0,1,1,1,1,	0	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
--- N = 850 --- D = 0.84 ---
* * * Solver: GnB * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	16	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	11	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	0,1,1,1,1,	0	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	8	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	64	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	7	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	9	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
(G)	6	599	45	114	87	3	1,1,1,1,1,	1	0.751	0
--- N = 850 --- D = 0.88 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	X3	X4	X5	scs	SCS	estEng	CAP>=N
	46	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	511	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	22	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	13	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	15	702	90	0	58	0	0,1,-,1,-,	0	0.551	1
	15	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	13	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	13	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
	14	702	90	0	58	0	1,1,-,1,-,	1	0.551	1
