--- N = 184 --- D = 0.60 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
(G)	58	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	7	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	7	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	63	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	7	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	57	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	117	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	50	83	100	1,0,	0	0.392	0
--- N = 184 --- D = 0.64 ---
* * * Solver: GnB * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
(G)	5	83	100	0,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	14	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	60	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	7	83	100	1,0,	0	0.392	0
(G)	6	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
(G)	5	83	100	1,0,	0	0.392	0
